,Num_Acc,place,catu,grav,sexe,secu,locp,actp,etatp,an_nais,num_veh,senc,catv,occutc,obs,obsm,choc,manv,mois,jour,hrmn,lum,agg,int,atm,col,mom,catvopp,catv_gen,catvopp_gen
23646,201600010631,1.0,1,1,2,13.0,0.0,0.0,0.0,1973.0,A01,1.0,7,0,0.0,2.0,1.0,1.0,1,24,1245,1,2,1,1,2,2,7,2,2
23647,201600010631,1.0,1,4,2,13.0,0.0,0.0,0.0,1973.0,B01,1.0,7,0,0.0,2.0,4.0,15.0,1,24,1245,1,2,1,1,2,2,7,2,2
23648,201600010632,1.0,1,1,1,11.0,0.0,0.0,0.0,1991.0,A01,1.0,7,0,0.0,2.0,3.0,9.0,1,22,1740,1,2,4,1,1,3,7,2,2
23649,201600010632,1.0,1,4,1,11.0,0.0,0.0,0.0,1971.0,B01,2.0,7,0,0.0,2.0,1.0,1.0,1,22,1740,1,2,4,1,1,3,7,2,2
23650,201600010633,1.0,1,3,1,21.0,0.0,0.0,0.0,1991.0,B01,1.0,30,0,0.0,2.0,3.0,0.0,1,29,1430,1,2,1,1,3,3,7,1,2
23651,201600010633,1.0,1,1,1,11.0,0.0,0.0,0.0,1988.0,A01,2.0,7,0,0.0,2.0,3.0,0.0,1,29,1430,1,2,1,1,3,3,30,2,1
23652,201600010634,1.0,1,4,2,13.0,0.0,0.0,0.0,1955.0,A01,1.0,7,0,6.0,0.0,2.0,1.0,1,31,1710,1,1,1,1,6,3,7,2,2
23653,201600010635,1.0,1,4,1,21.0,0.0,0.0,0.0,1964.0,B01,1.0,31,0,0.0,2.0,7.0,14.0,2,1,1020,1,1,6,1,3,1,10,1,2
23654,201600010635,1.0,1,1,1,11.0,0.0,0.0,0.0,1985.0,A01,1.0,10,0,0.0,2.0,8.0,13.0,2,1,1020,1,1,6,1,3,1,31,2,1
23655,201600010636,1.0,1,4,2,11.0,0.0,0.0,0.0,1985.0,A01,2.0,7,0,0.0,2.0,1.0,2.0,2,1,1805,5,2,1,1,2,4,7,2,2
23656,201600010636,1.0,1,1,1,11.0,0.0,0.0,0.0,1977.0,B01,2.0,7,0,0.0,2.0,4.0,2.0,2,1,1805,5,2,1,1,2,4,7,2,2
23657,201600010637,1.0,1,1,1,11.0,0.0,0.0,0.0,1984.0,A01,1.0,7,0,0.0,1.0,1.0,13.0,2,1,1940,5,2,1,1,6,4,7,2,2
